Sex,Age interval,Education level,Access to phone,Income source,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery,Are you willing to be trained in tree nursery?,Are you willing to be trained in mangroves nursery?,Are you willing to learn new fishing technics?,Are you willing to use better fishing equipement to protect the baby fishes?,Do you go to fish every week of a month?,What is your average fishing income on a week?,What culture you practice the best?,What agricultural practices do you know?,"For the pass 12 months, what activities did you do in the mangroves?",When do you use to cut out the mangroves?,What equipement you use in fishing?
Male,Greater than 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,No,,Growing environment for crustaceans It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves Decrease in the sea level,Yes,Organize a management committee,Provide oxygen Wind breaker,No,Yes,Yes,Yes,Yes,Yes,2000.0,Other Peach,,Parking for the boats Fishing,,pirogue Hook Other
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,It contributes to food security (thank to fishing products) Growing environment for crustaceans Other,No,,Yes,Organize a management committee Other,Controle the earth temperature Provide oxygen Other,Yes,Yes,Yes,Yes,Yes,Yes,1000.0,,,Parking for the boats Fishing,,pirogue Hook Gun
Male,From 25 to 35,High school,Yes,Fishing,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them Don't know,It contributes to food security (thank to fishing products) Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Organize a management committee Enforce law to protect the mangroves Educate and sensitize the population on how to exploit mangroves,Protect soil agains erosion Controle the earth temperature Wind breaker,Yes,Yes,Yes,Yes,Yes,Yes,2000.0,,,Parking for the boats Fishing,,pirogue Hook Gun
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Growing environment for crustaceans,Yes,Decrease in the sea level,Yes,Organize a management committee Plant more mangroves,Provide food for human and animals Controle the earth temperature,Yes,Yes,Yes,Yes,Yes,Yes,1000.0,,,Fishing,,pirogue Small mesh net Hook Gun
Male,From 35 to 55,High school,Yes,Fishing,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them,It contributes to food security (thank to fishing products) Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Continuous deposition of sediments in mangroves,Yes,Elaborate a plan with community management Organize a management committee,Provide oxygen Controle the earth temperature Protect soil agains erosion Wind breaker,Yes,Yes,Yes,Yes,Yes,Yes,2500.0,,,Fishing,,Hook Gun pirogue
Male,Less than 25,Primary school,Yes,Fishing,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them,Birds habitat Growing environment for crustaceans Other,Yes,Community over-exploitation of mangroves Urbanization of mangrove areas,Yes,Organize a management committee Other,Protect soil agains erosion Controle the earth temperature Wind breaker,Yes,Yes,Yes,Yes,Yes,Yes,3000.0,,,Parking for the boats Fishing,,pirogue Hook Gun Other
Male,From 35 to 55,Primary school,Yes,Fishing Agriculture Animal breeding,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them,Growing environment for crustaceans Protect the reefs,Yes,Community over-exploitation of mangroves Decrease in the sea level,Yes,Organize a management committee Enforce law to protect the mangroves,Provide food for human and animals Wind breaker Provide oxygen,Yes,Yes,Yes,Yes,Yes,Yes,3000.0,Corn Sorgho Pigeon pea Other Banana tree Yam Melon,Plant trees in the gardens Burn the soil with the weeds Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue Hook Gun Other
Male,From 35 to 55,Primary school,Yes,Agriculture Animal breeding Fishing,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),No,,Growing environment for crustaceans It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves Decrease in the sea level,Yes,Enforce law to protect the mangroves Organize a management committee,Controle the earth temperature Wind breaker Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,Yes,1500.0,Corn Sorgho Pigeon pea Banana tree Other Melon,Plant bamboos on the mountainsides Burn the soil with the weeds Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue Hook Gun Other
Male,Greater than 55,None,Yes,Agriculture Fishing,A tree that grows in forest by the sea,No,,,,It contributes to food security (thank to fishing products),No,,,Enforce law to protect the mangroves,Controle the earth temperature Other,No,Yes,Yes,Yes,Yes,No,1000.0,Sorgho Other Corn Melon,Cultivate seasonal crops on the mountainsides Plowing the soil Plant trees in the gardens Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Cut dead trees Fishing,Other,Hook pirogue
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,Yes,Other,Yes,Don't cut them,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Enforce law to protect the mangroves,Provide oxygen Controle the earth temperature,No,Yes,Yes,Yes,Yes,Yes,1000.0,Other Peach,Cultivate seasonal crops on the mountainsides Plowing the soil Soil conservation with dry walls Soil conservation with living ramp Irrigation canals Plant trees in the gardens Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Cut out living trees Cut dead trees Fishing,Other,Hook pirogue Other
Male,Greater than 55,None,,Fishing,A tree that grows in forest by the sea,No,,,,Other,Yes,Community over-exploitation of mangroves,Yes,Enforce law to protect the mangroves,Other,No,Yes,Yes,Yes,Yes,Yes,2500.0,Other Melon,Cultivate seasonal crops on the mountainsides Plowing the soil Cut off trees in the garden Burn the soil with the weeds Breed animals after the crops to fertilize the soil,,,Hook Other
Male,From 25 to 35,Primary school,Yes,Fishing,A tree that grows in forest by the sea,Yes,Other,No,,Growing environment for crustaceans It contributes to food security (thank to fishing products) Other,No,,Yes,Enforce law to protect the mangroves,Protect soil agains erosion Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Yes,No,5000.0,Other Peach,Cultivate seasonal crops on the mountainsides Plowing the soil Soil conservation with dry walls Soil conservation with living ramp Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Fishing,,Other
Male,Greater than 55,Primary school,Yes,Agriculture Charcoal with woods of other trees Animal breeding,A tree that grows in forest by the sea,Yes,Other,Yes,Don't cut them,It contributes to food security (thank to fishing products) Growing environment for crustaceans,No,,,,Controle the earth temperature Provide oxygen,No,Yes,Yes,Yes,Yes,No,1000.0,Other Banana tree Peach,Cultivate seasonal crops on the mountainsides Soil conservation with dry walls Soil conservation with living ramp Irrigation canals Plant trees in the gardens Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Cut out living trees Cut dead trees Beekeeping,Other,pirogue Other Fishing Trap
Male,Greater than 55,Primary school,No,Fishing Agriculture,A tree that grows in forest by the sea,Yes,Other,Yes,Don't cut them,Growing environment for crustaceans Other,Yes,Community over-exploitation of mangroves,Yes,Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves,Provide oxygen,No,Yes,Yes,Yes,Yes,No,500.0,Other Corn Yam Bean (Haricot) Pigeon pea Peach,Cultivate seasonal crops on the mountainsides Plant trees in the gardens Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Fishing,,pirogue Other Hook
Male,Greater than 55,Primary school,Yes,Fishing Agriculture,A tree that grows in forest by the sea,Yes,Other,Yes,Don't cut them,It contributes to food security (thank to fishing products) Growing environment for crustaceans,No,,Yes,Other,Protection against flooding Wind breaker Controle the earth temperature Provide oxygen,No,Yes,Yes,Yes,Yes,No,1000.0,Yam Pigeon pea Other Peach,Cultivate seasonal crops on the mountainsides Soil conservation with dry walls Plant trees in the gardens Burn the soil with the weeds Cut off trees in the garden Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Cut out living trees,Other,pirogue Other
Male,From 25 to 35,Primary school,Yes,Agriculture Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,No,,Yes,Organize a management committee Educate and sensitize the population on how to exploit mangroves,Provide oxygen Protect soil agains erosion,No,Yes,Yes,Yes,Yes,Yes,2500.0,Sorgho Corn Other Pigeon pea Melon,Cultivate seasonal crops on the mountainsides Plant trees in the gardens Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil,Fishing Parking for the boats,,Hook
Male,From 35 to 55,Primary school,Yes,Agriculture Fishing,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Don't cut them,Growing environment for crustaceans It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves,Yes,Plant more mangroves Organize a management committee,Provide oxygen Facilitate water filtration to the ground,No,Yes,Yes,Yes,Yes,Yes,5000.0,Corn Yam Banana tree Pigeon pea,Cultivate seasonal crops on the mountainsides Soil conservation with dry walls Soil conservation with living ramp Plant trees in the gardens Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue
Male,Greater than 55,Primary school,Yes,Agriculture Charcoal with mangrove Woods Fishing,A tree that grows in forest by the sea,No,,Yes,Don't cut them Don't know Do not throw garbage in the mangroves,Growing environment for crustaceans Protect the reefs,Yes,Community over-exploitation of mangroves,Yes,Plant more mangroves,Protect soil agains erosion Provide oxygen,No,Yes,Yes,Yes,Yes,Yes,3000.0,Pigeon pea Corn Sorgho,Cultivate seasonal crops on the mountainsides Plowing the soil Plant trees in the gardens Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue
