Sex,Age interval,Education level,Access to phone,Income source,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery,Are you willing to be trained in tree nursery?,Are you willing to be trained in mangroves nursery?,Are you willing to learn new fishing technics?,Are you willing to use better fishing equipement to protect the baby fishes?,Do you go to fish every week of a month?,What is your average fishing income on a week?,What culture you practice the best?,What agricultural practices do you know?,"For the pass 12 months, what activities did you do in the mangroves?",When do you use to cut out the mangroves?,What equipement you use in fishing?
Female,Less than 25,Primary school,Yes,Agriculture,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't know,Protect the reefs,Yes,Absence of government/no control of mangroves exploitation,Yes,Organize a management committee,Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,Yes,500.0,Corn Sorgho Yam Banana tree,Soil conservation with living ramp,Fishing,July,Hook
Male,From 35 to 55,None,Yes,Fishing,A tree that produces mangoes,No,,Yes,Don't cut them,Growing environment for crustaceans,No,,No,,Facilitate water filtration to the ground,Yes,Yes,No,Yes,Yes,Yes,,Banana tree Yam Pigeon pea Corn Sorgho,Breed animals after the crops to fertilize the soil,Other,March,pirogue Small mesh net
Male,From 35 to 55,None,Yes,Fishing,A tree that grows in forest by the sea,No,,No,,It contributes to food security (thank to fishing products),Yes,Decrease in the sea level,Yes,Plant more mangroves,Don't know,No,Yes,Yes,Yes,Yes,Yes,500.0,Other Peach,,Fishing,March,pirogue Hook Gun
Male,From 35 to 55,None,Yes,Fishing,Don't know,No,,No,,It contributes to food security (thank to fishing products),Yes,Urbanization of mangrove areas,No,,Natural medicines,No,Yes,Yes,Yes,Yes,Yes,500.0,Corn Sorgho,Put organic fertilizer in the soil,Other,Other,pirogue
Male,From 35 to 55,Primary school,No,Fishing,A tree that grows in forest by the sea,Yes,,Yes,Don't cut them,Prevent flooding,No,,Yes,Plant more mangroves,Controle the earth temperature,Yes,Yes,Yes,Yes,Yes,Yes,1000.0,Corn Sorgho Pigeon pea,Plant trees in the gardens,Fishing,Other,Hook pirogue Small mesh net
Male,Greater than 55,None,Yes,Fishing,A tree that grows in forest by the sea,Yes,,No,,Growing environment for crustaceans,No,,Yes,Plant more mangroves,Wind breaker,Yes,Yes,Yes,Yes,Yes,Yes,250.0,Corn,Plant trees in the gardens,Fishing,March,pirogue Hook Small mesh net
Male,From 25 to 35,Primary school,Yes,Agriculture Other,A tree that grows in forest by the sea,Yes,,No,,Prevent flooding,Yes,Community over-exploitation of mangroves,Yes,,Provide food for human and animals,No,Yes,Yes,Yes,Yes,Yes,150.0,Corn Sorgho Yam Banana tree,Plant trees in the gardens,Fishing,March November,Gun pirogue
Male,Less than 25,High school,No,Fishing,Don't know,No,,No,,Growing environment for crustaceans,Yes,Urbanization of mangrove areas,No,,Facilitate water filtration to the ground,Yes,Yes,Yes,Yes,Yes,Yes,500.0,Corn,Plant trees in the gardens,Fishing,March,Gun Hook pirogue
Male,Less than 25,High school,Yes,Fishing,A tree that grows in forest by the sea,Yes,,Yes,Don't cut them,Growing environment for crustaceans,Yes,Continuous deposition of sediments in mangroves,Yes,Elaborate a plan with community management,Facilitate water filtration to the ground,No,Yes,Yes,Yes,Yes,Yes,,Corn Other Melon,Plant trees in the gardens,Fishing,November,Gun Hook pirogue
Male,Greater than 55,None,No,Agriculture,Don't know,No,,Yes,Don't cut them,Prevent flooding,Yes,Continuous deposition of sediments in mangroves,Yes,Other,Facilitate water filtration to the ground,Yes,Yes,Yes,Yes,Yes,No,200.0,Corn Sorgho,Put organic fertilizer in the soil,Fishing,,Hook pirogue Gun
Male,From 25 to 35,Primary school,Yes,Fishing,A tree that grows in forest by the sea,Yes,,Yes,Don't cut them,Prevent flooding,Yes,Continuous deposition of sediments in mangroves,Yes,Soil conservation in the mountains,Facilitate water filtration to the ground,Yes,Yes,Yes,Yes,Yes,Yes,5000.0,Corn Sorgho,Put organic fertilizer in the soil,Fishing,March,Hook pirogue
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Greater than 55,Primary school,Yes,Agriculture Fishing,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,Prevent flooding,Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Plant more mangroves Organize a management committee Elaborate a plan with community management,Provide oxygen Natural medicines,No,Yes,Yes,Yes,Yes,Yes,2500.0,Pigeon pea Other Melon,Soil conservation with living ramp Breed animals after the crops to fertilize the soil Other,Fishing,,pirogue
Male,From 35 to 55,Primary school,Yes,Charcoal with woods of other trees Agriculture Fishing,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,Growing environment for crustaceans,No,,Yes,Plant more mangroves Elaborate a plan with community management,Provide food for human and animals Protection against flooding Provide oxygen,No,Yes,Yes,Yes,Yes,Yes,5000.0,Peanut Pigeon pea Other Bean (Haricot) Sorgho Corn Peach,Burn the soil with the weeds Other,Fishing,,Gun pirogue Other
Male,Greater than 55,None,Yes,Animal breeding Fishing,A tree that grows in forest by the sea,No,,No,,It contributes to food security (thank to fishing products) Prevent flooding,No,,Yes,Elaborate a plan with community management Plant more mangroves Organize a management committee,Provide oxygen Provide food for human and animals Facilitate water filtration to the ground Protection against flooding,Yes,Yes,Yes,Yes,Yes,Yes,10000.0,Banana tree Sorgho Pigeon pea Yam Other Peach,Burn the soil with the weeds Cut off trees in the garden Other,Parking for the boats,,pirogue Hook Other
Male,Greater than 55,Primary school,Yes,Agriculture Charcoal with woods of other trees,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,Prevent flooding It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Organize a management committee Elaborate a plan with community management Plant more mangroves,Provide food for human and animals Provide oxygen,No,Yes,Yes,Yes,Yes,Yes,5000.0,Corn Sorgho Pigeon pea Yam Banana tree,Other Put organic fertilizer in the soil Burn the soil with the weeds,Parking for the boats,,pirogue Hook
Male,From 25 to 35,Primary school,Yes,Fishing Agriculture,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves,Yes,Elaborate a plan with community management Plant more mangroves,Provide oxygen Protection against flooding,No,Yes,Yes,Yes,Yes,Yes,5000.0,Pigeon pea Corn Other Melon,Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil Other,Parking for the boats,,Gun Other
Male,From 35 to 55,Primary school,Yes,Agriculture Fishing,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,It contributes to food security (thank to fishing products) Prevent flooding Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Organize a management committee Elaborate a plan with community management,Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Yes,Yes,6000.0,Sorgho Corn Pigeon pea Yam,Other Breed animals after the crops to fertilize the soil Soil conservation with living ramp Put organic fertilizer in the soil,Parking for the boats,,pirogue Gun Other
Male,From 35 to 55,Primary school,Yes,Charcoal with woods of other trees Fishing,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,It contributes to food security (thank to fishing products) Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Organize a management committee Elaborate a plan with community management Plant more mangroves,Provide oxygen Provide food for human and animals Protection against flooding,No,Yes,Yes,Yes,Yes,Yes,5000.0,Corn Sorgho Pigeon pea Banana tree,Other,Fishing,,pirogue Hook Gun Other
Male,From 35 to 55,High school,Yes,Fishing Agriculture,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,It contributes to food security (thank to fishing products) Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves,Protection against flooding Wind breaker Provide oxygen Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,Yes,5000.0,Pigeon pea Sorgho Corn Banana tree Other Melon,Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil Other,Fishing Parking for the boats,,pirogue Hook
Male,From 25 to 35,High school,Yes,Fishing Agriculture,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,Growing environment for crustaceans It contributes to food security (thank to fishing products) Birds habitat,Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Organize a management committee Elaborate a plan with community management,Provide oxygen Other,Yes,Yes,Yes,Yes,Yes,Yes,5000.0,Corn Sorgho Yam,Burn the soil with the weeds Put organic fertilizer in the soil Other Breed animals after the crops to fertilize the soil,Fishing,,Gun Hook Other pirogue
